Street,City,District,State,SALE_YEAR,area,zoning,latitude,longitude,waterApplicable,waterDistance,roadApplicable,roadDistance,schoolApplicable,schoolDistance,railwayApplicable,railwayDistance,busApplicable,busDistance,price,past_prices
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2023,0.0438,Agricultural,8.7139,77.7567,applicable,1.13,applicable,2.1,notApplicable,0.0,applicable,3.55,notApplicable,0.0,64300.0,"[380900.0, 143400.0, 2666400.0, 5706900.0, 18473300.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2024,0.1494,Residential,8.813,78.1341,notApplicable,0.0,applicable,0.49,notApplicable,0.0,applicable,3.07,applicable,5.32,731300.0,"[1337100.0, 3044100.0, 9471400.0, 285400.0, 30435200.0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2025,0.7009,Commercial,11.349,77.6951,notApplicable,0.0,applicable,3.41,applicable,0.63,notApplicable,0.0,applicable,3.12,6316500.0,"[211600.0, 1723100.0, 70300.0, 8785600.0, 5728200.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2025,1.0909,Conservation,10.9979,76.9994,applicable,0.43,applicable,0.43,applicable,4.34,notApplicable,0.0,applicable,4.86,1396500.0,"[10468800.0, 6219300.0, 2222100.0, 21552800.0, 9695700.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2025,0.9778,Conservation,12.9791,80.2209,applicable,2.95,applicable,0.3,applicable,2.12,applicable,0.84,applicable,2.62,1451600.0,"[812200.0, 9988300.0, 4656600.0, 1015900.0, 4699100.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2025,0.4885,Agricultural,11.0616,76.9366,notApplicable,0.0,applicable,5.08,applicable,1.06,notApplicable,0.0,applicable,4.15,976900.0,"[10616900.0, 539500.0, 25797000.0, 914100.0, 30806700.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2022,6.143,Agricultural,11.0616,76.9366,applicable,4.29,applicable,3.21,applicable,3.45,notApplicable,0.0,notApplicable,0.0,10593000.0,"[2199400.0, 364900.0, 65164200.0, 4100200.0, 409200.0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2024,1.8682,Conservation,11.349,77.6951,applicable,3.01,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,5.75,1723100.0,"[34594300.0, 709100.0, 364400.0, 282100.0, 42800.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2023,4.934,Residential,10.9979,76.9994,applicable,4.12,notApplicable,0.0,notApplicable,0.0,applicable,2.4,applicable,5.88,28982900.0,"[55643900.0, 2814500.0, 183600.0, 6293500.0, 1819100.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2023,0.6185,Residential,8.813,78.1341,notApplicable,0.0,applicable,1.78,notApplicable,0.0,applicable,0.83,applicable,4.5,3044100.0,"[1276400.0, 7956300.0, 631000.0, 6768800.0, 2495300.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2022,0.0993,Conservation,10.4508,77.5148,applicable,3.99,applicable,5.31,notApplicable,0.0,notApplicable,0.0,applicable,2.96,106400.0,"[1180700.0, 2830800.0, 291000.0, 488200.0, 50925300.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2023,0.1707,Commercial,8.813,78.1341,applicable,5.32,applicable,1.22,notApplicable,0.0,notApplicable,0.0,applicable,5.53,1337100.0,"[1276400.0, 7956300.0, 631000.0, 6768800.0, 2495300.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2022,0.1411,Industrial,9.924,78.135,applicable,3.92,applicable,3.24,notApplicable,0.0,applicable,5.36,applicable,0.98,821700.0,"[28520000.0, 69877900.0, 3595000.0, 12856800.0, 783100.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2021,0.0563,Residential,10.9979,76.9994,notApplicable,0.0,applicable,5.17,applicable,5.4,notApplicable,0.0,applicable,5.0,303400.0,"[0, 0, 0, 0, 0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2021,0.9854,Industrial,12.9834,80.259,applicable,3.52,applicable,1.72,applicable,2.29,applicable,1.57,applicable,4.07,7612200.0,"[0, 0, 0, 0, 0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2025,1.6548,Industrial,12.9791,80.2209,applicable,5.94,applicable,2.37,notApplicable,0.0,applicable,4.27,applicable,5.49,14386500.0,"[812200.0, 9988300.0, 4656600.0, 1015900.0, 4699100.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2022,1.6811,Residential,8.813,78.1341,applicable,3.52,applicable,1.07,applicable,2.1,notApplicable,0.0,applicable,3.22,6768800.0,"[381400.0, 24209200.0, 9471000.0, 3488900.0, 1032100.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2024,4.7206,Conservation,11.0183,76.997,applicable,2.5,applicable,4.94,applicable,4.53,notApplicable,0.0,notApplicable,0.0,5292400.0,"[11703200.0, 548800.0, 2089600.0, 2376800.0, 4877100.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2023,7.3653,Industrial,10.4508,77.5148,applicable,3.95,applicable,2.64,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,64681100.0,"[13568500.0, 106400.0, 7646100.0, 897600.0, 999400.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2024,1.4927,Industrial,9.924,78.135,applicable,5.04,notApplicable,0.0,applicable,4.59,applicable,5.88,notApplicable,0.0,9301600.0,"[15115400.0, 26585100.0, 2592100.0, 2977200.0, 25018100.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2024,0.8713,Conservation,11.0616,76.9366,applicable,3.77,notApplicable,0.0,notApplicable,0.0,applicable,5.63,applicable,5.36,914100.0,"[1762300.0, 1592900.0, 400900.0, 1550000.0, 49100500.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2025,0.0147,Agricultural,12.9834,80.259,applicable,3.12,applicable,1.88,applicable,4.93,notApplicable,0.0,applicable,4.44,31800.0,"[1082700.0, 2731200.0, 52497700.0, 5410100.0, 14039900.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2022,1.4903,Commercial,9.4523,77.5533,applicable,4.14,applicable,3.42,applicable,0.47,notApplicable,0.0,applicable,2.2,9940800.0,"[2984500.0, 135500.0, 22986900.0, 3420700.0, 364500.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2023,3.1033,Conservation,9.924,78.135,applicable,0.53,applicable,2.59,notApplicable,0.0,applicable,2.62,applicable,3.27,2977200.0,"[821700.0, 733500.0, 625700.0, 1934700.0, 540500.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2023,0.4728,Residential,10.9979,76.9994,applicable,4.87,applicable,3.61,notApplicable,0.0,applicable,4.09,applicable,1.46,2522000.0,"[55643900.0, 2814500.0, 183600.0, 6293500.0, 1819100.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2021,6.4813,Commercial,9.9677,78.1653,notApplicable,0.0,applicable,2.07,notApplicable,0.0,applicable,1.84,applicable,2.9,58948600.0,"[0, 0, 0, 0, 0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2023,7.8879,Commercial,10.9979,76.9994,notApplicable,0.0,applicable,5.21,applicable,4.5,applicable,0.29,applicable,3.41,76780500.0,"[55643900.0, 2814500.0, 183600.0, 6293500.0, 1819100.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2023,7.0002,Industrial,11.0616,76.9366,applicable,4.4,notApplicable,0.0,applicable,4.49,notApplicable,0.0,applicable,2.87,49100500.0,"[318200.0, 14909900.0, 818600.0, 16183000.0, 10593000.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2022,0.1108,Residential,9.9677,78.1653,applicable,0.24,notApplicable,0.0,applicable,1.0,notApplicable,0.0,applicable,3.86,684300.0,"[58948600.0, 17453400.0, 206400.0, 90500.0, 21717900.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2022,6.0005,Agricultural,12.9791,80.2209,applicable,4.39,applicable,3.31,applicable,1.86,applicable,3.11,applicable,4.25,10473500.0,"[4480300.0, 1136800.0, 2472800.0, 2723700.0, 2990600.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2021,1.4297,Agricultural,12.9791,80.2209,applicable,5.94,applicable,1.51,applicable,4.17,applicable,5.12,applicable,3.99,2472800.0,"[0, 0, 0, 0, 0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2021,0.282,Agricultural,8.813,78.1341,applicable,5.85,notApplicable,0.0,notApplicable,0.0,applicable,5.39,notApplicable,0.0,381400.0,"[0, 0, 0, 0, 0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2025,0.0766,Residential,11.0183,76.997,applicable,4.96,notApplicable,0.0,applicable,4.96,applicable,5.59,applicable,1.94,419400.0,"[8301200.0, 222900.0, 5292400.0, 59415000.0, 622800.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2025,0.0564,Industrial,9.4523,77.5533,applicable,2.18,notApplicable,0.0,applicable,4.66,applicable,5.74,notApplicable,0.0,290900.0,"[657000.0, 1433100.0, 1492000.0, 32180200.0, 6552200.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2021,3.3688,Commercial,8.813,78.1341,applicable,4.83,applicable,4.34,notApplicable,0.0,applicable,0.68,applicable,1.09,24209200.0,"[0, 0, 0, 0, 0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2024,0.5078,Residential,11.0175,76.9725,notApplicable,0.0,applicable,3.17,applicable,0.8,applicable,0.72,applicable,3.41,3325300.0,"[749700.0, 35211300.0, 14300700.0, 151900.0, 7908700.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2024,0.2948,Commercial,8.813,78.1341,applicable,3.06,applicable,0.57,applicable,2.72,applicable,2.64,applicable,3.01,1831800.0,"[1337100.0, 3044100.0, 9471400.0, 285400.0, 30435200.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2024,3.8279,Residential,10.9979,76.9994,applicable,4.93,applicable,5.19,notApplicable,0.0,applicable,5.85,applicable,0.99,21552800.0,"[28982900.0, 2522000.0, 76780500.0, 1959500.0, 211100.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2024,3.7487,Residential,11.0616,76.9366,notApplicable,0.0,applicable,2.32,applicable,5.61,applicable,1.36,notApplicable,0.0,25797000.0,"[1762300.0, 1592900.0, 400900.0, 1550000.0, 49100500.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2021,1.5626,Conservation,12.9791,80.2209,notApplicable,0.0,applicable,1.01,notApplicable,0.0,notApplicable,0.0,applicable,1.96,2723700.0,"[0, 0, 0, 0, 0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2024,4.4048,Industrial,12.9791,80.2209,applicable,3.9,applicable,0.69,applicable,4.66,notApplicable,0.0,applicable,4.01,39763500.0,"[379000.0, 3141200.0, 326500.0, 7256100.0, 46031100.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2021,1.4701,Conservation,11.0175,76.9725,notApplicable,0.0,applicable,3.21,applicable,3.57,applicable,3.54,applicable,2.79,1281900.0,"[0, 0, 0, 0, 0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2025,0.0311,Conservation,8.813,78.1341,applicable,1.4,notApplicable,0.0,applicable,3.0,applicable,2.96,applicable,2.74,23900.0,"[533300.0, 731300.0, 29081400.0, 8490900.0, 1311400.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2023,0.0163,Agricultural,9.9677,78.1653,applicable,1.13,applicable,3.45,notApplicable,0.0,applicable,5.76,applicable,1.54,26200.0,"[684300.0, 148600.0, 1293000.0, 2137000.0, 3727400.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2024,4.6975,Residential,12.9791,80.2209,applicable,0.56,applicable,0.79,applicable,5.26,notApplicable,0.0,notApplicable,0.0,44852200.0,"[379000.0, 3141200.0, 326500.0, 7256100.0, 46031100.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2024,1.2342,Residential,9.9677,78.1653,applicable,3.78,applicable,4.92,applicable,4.29,applicable,1.93,notApplicable,0.0,5907800.0,"[4168000.0, 802400.0, 26200.0, 533700.0, 2412900.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2023,6.1606,Residential,12.9834,80.259,applicable,4.22,applicable,3.94,applicable,6.0,applicable,3.42,applicable,3.04,33292000.0,"[964500.0, 12154600.0, 507200.0, 352500.0, 52013100.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2025,2.8192,Industrial,9.9677,78.1653,notApplicable,0.0,applicable,5.07,applicable,3.03,notApplicable,0.0,applicable,0.68,20242400.0,"[4184000.0, 91200.0, 633300.0, 5907800.0, 1041800.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2023,6.6844,Residential,8.813,78.1341,applicable,2.33,applicable,4.97,applicable,0.44,notApplicable,0.0,notApplicable,0.0,33150200.0,"[1276400.0, 7956300.0, 631000.0, 6768800.0, 2495300.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2024,0.0243,Residential,8.7139,77.7567,applicable,4.7,applicable,1.57,notApplicable,0.0,applicable,4.9,notApplicable,0.0,112000.0,"[64300.0, 1336400.0, 731500.0, 1127400.0, 21164800.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2024,0.0332,Conservation,9.9677,78.1653,applicable,1.9,applicable,3.52,applicable,5.72,applicable,3.18,notApplicable,0.0,29800.0,"[4168000.0, 802400.0, 26200.0, 533700.0, 2412900.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2022,0.425,Agricultural,9.921,78.1197,notApplicable,0.0,applicable,5.09,applicable,2.48,applicable,1.02,applicable,3.87,637900.0,"[8893600.0, 8712000.0, 6309500.0, 226700.0, 3192500.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2021,0.6396,Industrial,9.924,78.135,applicable,5.24,notApplicable,0.0,applicable,5.11,applicable,0.74,applicable,5.84,3595000.0,"[0, 0, 0, 0, 0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2021,6.9491,Commercial,11.0616,76.9366,applicable,3.01,notApplicable,0.0,applicable,2.19,notApplicable,0.0,applicable,4.16,65164200.0,"[0, 0, 0, 0, 0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2021,2.0041,Industrial,12.9834,80.259,applicable,5.61,applicable,1.79,applicable,4.0,notApplicable,0.0,applicable,1.65,17031200.0,"[0, 0, 0, 0, 0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2021,0.0655,Residential,11.0175,76.9725,notApplicable,0.0,applicable,4.14,applicable,0.25,applicable,4.23,applicable,4.94,355000.0,"[0, 0, 0, 0, 0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2024,1.5961,Residential,9.924,78.135,applicable,3.92,applicable,4.13,applicable,0.6,notApplicable,0.0,notApplicable,0.0,9447900.0,"[15115400.0, 26585100.0, 2592100.0, 2977200.0, 25018100.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2024,7.5194,Residential,9.4523,77.5533,notApplicable,0.0,applicable,2.43,applicable,5.79,notApplicable,0.0,applicable,2.02,32180200.0,"[114300.0, 557600.0, 15608400.0, 23139700.0, 500900.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2022,0.0875,Agricultural,10.9979,76.9994,notApplicable,0.0,applicable,4.54,applicable,1.91,notApplicable,0.0,applicable,0.52,183600.0,"[303400.0, 1319200.0, 1369900.0, 26184100.0, 1205300.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2024,0.0258,Industrial,11.0183,76.997,notApplicable,0.0,notApplicable,0.0,applicable,2.32,notApplicable,0.0,applicable,4.16,222900.0,"[11703200.0, 548800.0, 2089600.0, 2376800.0, 4877100.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2021,7.5355,Agricultural,8.813,78.1341,applicable,0.68,applicable,3.31,applicable,3.77,applicable,1.81,notApplicable,0.0,9471000.0,"[0, 0, 0, 0, 0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2022,0.0851,Residential,8.7139,77.7567,applicable,5.56,applicable,0.87,notApplicable,0.0,applicable,3.75,applicable,0.52,380900.0,"[227100.0, 1768500.0, 24629000.0, 12892900.0, 551200.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2021,0.517,Residential,11.0175,76.9725,applicable,4.73,applicable,1.76,notApplicable,0.0,applicable,5.34,applicable,4.67,2588000.0,"[0, 0, 0, 0, 0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2023,5.7652,Industrial,8.813,78.1341,applicable,1.68,applicable,0.8,applicable,3.53,notApplicable,0.0,applicable,4.39,30435200.0,"[1276400.0, 7956300.0, 631000.0, 6768800.0, 2495300.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2021,0.1543,Agricultural,8.7139,77.7567,applicable,4.0,notApplicable,0.0,applicable,1.5,notApplicable,0.0,notApplicable,0.0,227100.0,"[0, 0, 0, 0, 0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2023,0.1256,Commercial,11.0616,76.9366,applicable,2.9,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,1.84,1497300.0,"[318200.0, 14909900.0, 818600.0, 16183000.0, 10593000.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2025,0.2791,Agricultural,9.9677,78.1653,applicable,5.42,applicable,4.61,applicable,1.62,notApplicable,0.0,applicable,0.24,493100.0,"[4184000.0, 91200.0, 633300.0, 5907800.0, 1041800.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2023,4.0101,Conservation,11.0183,76.997,notApplicable,0.0,applicable,3.05,applicable,0.55,notApplicable,0.0,applicable,5.98,4877100.0,"[927400.0, 7279800.0, 9981500.0, 14718500.0, 119400.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2022,0.1356,Agricultural,12.9834,80.259,applicable,0.56,applicable,4.04,notApplicable,0.0,applicable,0.96,applicable,1.89,352500.0,"[16947000.0, 7612200.0, 17031200.0, 904700.0, 15150000.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2023,0.0545,Industrial,8.813,78.1341,applicable,5.79,applicable,1.4,applicable,1.99,applicable,1.74,applicable,0.9,285400.0,"[1276400.0, 7956300.0, 631000.0, 6768800.0, 2495300.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2025,0.4426,Commercial,11.0175,76.9725,notApplicable,0.0,applicable,1.21,applicable,5.72,applicable,5.16,notApplicable,0.0,5016800.0,"[3325300.0, 34099900.0, 2136000.0, 1981200.0, 777400.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2021,0.4314,Residential,8.7139,77.7567,applicable,3.58,notApplicable,0.0,applicable,1.7,notApplicable,0.0,applicable,4.91,1768500.0,"[0, 0, 0, 0, 0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2024,0.1233,Residential,12.9834,80.259,applicable,2.49,applicable,0.37,applicable,4.16,notApplicable,0.0,notApplicable,0.0,1082700.0,"[42756000.0, 33292000.0, 2462400.0, 71681000.0, 571300.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2023,0.4592,Residential,11.0183,76.997,applicable,2.42,applicable,2.63,notApplicable,0.0,applicable,3.93,applicable,4.82,2376800.0,"[927400.0, 7279800.0, 9981500.0, 14718500.0, 119400.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2021,5.2671,Conservation,8.813,78.1341,applicable,3.66,applicable,0.37,applicable,4.9,applicable,1.83,applicable,4.89,3488900.0,"[0, 0, 0, 0, 0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2022,0.1464,Conservation,9.9677,78.1653,notApplicable,0.0,notApplicable,0.0,applicable,5.62,notApplicable,0.0,applicable,5.95,148600.0,"[58948600.0, 17453400.0, 206400.0, 90500.0, 21717900.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2023,1.871,Conservation,11.0183,76.997,notApplicable,0.0,applicable,5.31,applicable,3.05,applicable,1.99,notApplicable,0.0,2089600.0,"[927400.0, 7279800.0, 9981500.0, 14718500.0, 119400.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2022,0.157,Agricultural,12.9834,80.259,notApplicable,0.0,applicable,0.55,applicable,1.06,notApplicable,0.0,notApplicable,0.0,507200.0,"[16947000.0, 7612200.0, 17031200.0, 904700.0, 15150000.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2025,7.6515,Agricultural,12.9791,80.2209,applicable,2.73,applicable,3.91,applicable,3.03,notApplicable,0.0,notApplicable,0.0,18236200.0,"[812200.0, 9988300.0, 4656600.0, 1015900.0, 4699100.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2025,1.3834,Conservation,11.0616,76.9366,notApplicable,0.0,applicable,3.52,applicable,5.13,applicable,4.67,notApplicable,0.0,1548900.0,"[10616900.0, 539500.0, 25797000.0, 914100.0, 30806700.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2023,5.3933,Conservation,12.9791,80.2209,applicable,5.33,applicable,0.71,applicable,4.31,notApplicable,0.0,applicable,3.91,7256100.0,"[189200.0, 10473500.0, 47400.0, 76037300.0, 2009200.0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2023,0.0394,Agricultural,11.349,77.6951,applicable,5.31,applicable,2.24,applicable,2.38,applicable,5.01,applicable,4.77,42800.0,"[94500.0, 455300.0, 148700.0, 335400.0, 39400.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2022,0.5501,Residential,8.813,78.1341,notApplicable,0.0,applicable,3.37,applicable,5.41,applicable,0.74,notApplicable,0.0,2495300.0,"[381400.0, 24209200.0, 9471000.0, 3488900.0, 1032100.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2021,0.0704,Industrial,9.4523,77.5533,applicable,4.43,applicable,1.74,applicable,1.83,notApplicable,0.0,notApplicable,0.0,364500.0,"[0, 0, 0, 0, 0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2025,0.087,Industrial,10.4508,77.5148,applicable,1.19,applicable,1.89,notApplicable,0.0,applicable,0.68,applicable,5.09,768800.0,"[67869300.0, 103542900.0, 44925200.0, 3078900.0, 472800.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2024,1.4628,Industrial,9.924,78.135,notApplicable,0.0,applicable,1.51,applicable,1.76,applicable,0.56,applicable,4.56,10850700.0,"[15115400.0, 26585100.0, 2592100.0, 2977200.0, 25018100.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2025,2.3659,Commercial,12.9834,80.259,notApplicable,0.0,applicable,5.31,applicable,2.96,notApplicable,0.0,applicable,0.66,36287200.0,"[1082700.0, 2731200.0, 52497700.0, 5410100.0, 14039900.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2025,0.3309,Agricultural,11.0616,76.9366,applicable,4.89,applicable,0.93,applicable,2.66,notApplicable,0.0,notApplicable,0.0,727700.0,"[10616900.0, 539500.0, 25797000.0, 914100.0, 30806700.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2022,0.1268,Residential,9.924,78.135,applicable,5.52,applicable,0.27,applicable,4.26,notApplicable,0.0,applicable,3.61,625700.0,"[28520000.0, 69877900.0, 3595000.0, 12856800.0, 783100.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2022,0.0307,Industrial,12.9834,80.259,applicable,2.58,applicable,2.42,applicable,3.02,notApplicable,0.0,applicable,3.73,244100.0,"[16947000.0, 7612200.0, 17031200.0, 904700.0, 15150000.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2022,1.1026,Industrial,10.9979,76.9994,applicable,2.16,applicable,4.8,applicable,2.0,applicable,5.09,applicable,5.18,6293500.0,"[303400.0, 1319200.0, 1369900.0, 26184100.0, 1205300.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2022,3.9252,Residential,9.921,78.1197,applicable,3.01,applicable,3.2,applicable,2.37,notApplicable,0.0,applicable,0.53,19826500.0,"[8893600.0, 8712000.0, 6309500.0, 226700.0, 3192500.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2025,0.4232,Commercial,12.9834,80.259,applicable,5.52,notApplicable,0.0,notApplicable,0.0,applicable,4.29,applicable,1.79,5951400.0,"[1082700.0, 2731200.0, 52497700.0, 5410100.0, 14039900.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2021,4.6766,Industrial,8.7139,77.7567,applicable,4.2,applicable,1.85,applicable,2.44,notApplicable,0.0,notApplicable,0.0,24629000.0,"[0, 0, 0, 0, 0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2022,0.1006,Residential,9.4523,77.5533,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,1.2,applicable,4.85,473200.0,"[2984500.0, 135500.0, 22986900.0, 3420700.0, 364500.0]"
